GS-046,2018-01-09 06:16:17,2018-01-09 16:16:17
GS-047,2018-01-09 06:30:44,2018-01-09 16:30:44
GS-048,2018-01-09 06:36:12,2018-01-09 16:36:12
GS-049,2018-01-09 06:21:25,2018-01-09 16:21:25
GS-050,2018-01-09 06:57:37,2018-01-09 16:57:37
GS-051,2018-01-09 06:26:06,2018-01-09 16:26:16
GS-052,2018-01-09 06:28:34,2018-01-09 16:28:34
GS-053,2018-01-09 06:21:43,2018-01-09 16:21:43
GS-054,2018-01-09 06:20:58,2018-01-09 16:20:58
GS-055,2018-01-09 06:46:27,2018-01-09 16:46:27
GS-056,2018-01-09 06:20:55,2018-01-09 16:20:55
GS-057,2018-01-09 06:54:42,2018-01-09 16:54:42
GS-058,2018-01-09 05:53:00,2018-01-09 16:53:00
GS-059,2018-01-09 06:11:23,2018-01-09 16:11:23
GS-060,2018-01-09 06:31:06,2018-01-09 16:31:16
GS-061,2018-01-09 06:38:23,2018-01-09 16:38:23
GS-062,2018-01-09 06:38:34,2018-01-09 16:38:34
GS-063,2018-01-09 06:36:16,2018-01-09 16:36:16
GS-064,2018-01-09 06:23:27,2018-01-09 16:23:27
GS-065,2018-01-09 06:38:40,2018-01-09 16:38:40
GS-066,2018-01-09 08:20:17,2018-01-09 16:20:17
GS-067,2018-01-09 06:21:23,2018-01-09 16:21:23
GS-068,2018-01-09 06:21:32,2018-01-09 16:21:32
GS-069,2018-01-09 06:54:39,2018-01-09 16:54:39
GS-060,2018-01-09 06:51:17,2018-01-09 16:51:17
GS-061,2018-01-09 06:08:56,2018-01-09 16:16:56
GS-062,2018-01-09 06:37:55,2018-01-09 16:37:55
GS-063,2018-01-09 06:41:38,2018-01-09 16:41:38
GS-064,2018-01-09 06:50:47,2018-01-09 16:50:47
GS-065,2018-01-09 06:06:29,2018-01-09 16:16:29
GS-066,2018-01-09 06:09:36,2018-01-09 16:16:36
GS-067,2018-01-09 06:10:51,2018-01-09 16:16:51
GS-068,2018-01-09 06:32:50,2018-01-09 16:32:50
GS-069,2018-01-09 06:48:59,2018-01-09 16:48:59
GS-080,2018-01-09 06:33:28,2018-01-09 16:33:28
GS-081,2018-01-09 06:12:42,2018-01-09 16:12:42
GS-082,2018-01-09 06:11:10,2018-01-09 16:11:16
GS-083,2018-01-09 06:57:00,2018-01-09 16:57:00
GS-084,2018-01-09 06:00:30,2018-01-09 16:00:30
GS-085,2018-01-09 06:16:48,2018-01-09 16:16:48
GS-086,2018-01-09 06:41:15,2018-01-09 16:41:15
GS-087,2018-01-09 06:56:53,2018-01-09 16:56:53
GS-088,2018-01-09 05:49:19,2018-01-09 16:49:19
GS-089,2018-01-09 06:36:08,2018-01-09 16:36:16
GS-090,2018-01-09 06:24:48,2018-01-09 16:24:48
GS-091,2018-01-09 06:28:54,2018-01-09 16:28:54
GS-092,2018-01-09 06:26:39,2018-01-09 16:26:39
GS-093,2018-01-09 06:16:08,2018-01-09 16:16:16
GS-094,2018-01-09 06:06:39,2018-01-09 16:16:39
GS-095,2018-01-09 06:16:10,2018-01-09 16:16:16
GS-096,2018-01-09 06:29:24,2018-01-09 16:29:24
GS-097,2018-01-09 06:06:06,2018-01-09 16:16:16
GS-098,2018-01-09 06:04:05,2018-01-09 16:04:16
GS-099,2018-01-09 06:27:53,2018-01-09 16:27:53
GS-100,2018-01-09 06:29:40,2018-01-09 16:29:40
